num_Rank,num_Released,num_Released Worldwide,num_Release Year,Title,num_Theatrical Distributor,num_Genre,num_Source,num_Production Method,num_Creative Type,num_Production Budget,num_Opening Weekend Theaters,num_Maximum Theaters,num_Theatrical Engagements,num_Opening Weekend Revenue,num_Domestic Box Office,num_Infl. Adj. Dom. Box Office,num_International Box Office,num_Worldwide Box Office,mojo_release_year,mojo_rank,title,mojo_worldwide_box_office,mojo_us_box_office,mojo_us%,mojo_foreign_box_office,mojo_foreign%,id,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,original_language,popularity,genres,production_companies,production_countries,spoken_languages,release_year,merge_12,merge_123
48.0,"Sep 27, 2019","Sep 19, 2019",2019.0,abominable,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,75000000.0,4242.0,4248.0,19825.0,20612100.0,60761390.0,75017455.0,127907499.0,188668889.0,2019.0,49.0,abominable,188623517.0,60716390.0,0.322,127907127.0,0.68,431580.0,7.509,1877.0,Released,2019-09-19,190304772.0,97.0,False,75000000.0,en,27.909,"Family, Animation, Adventure, Comedy","DreamWorks Animation, Pearl Studio, Universal Pictures, dentsu","China, Japan, United States of America",English,2019.0,both,both
,,,,,,,,,,,,,,,,,,,2023.0,148.0,aboutmyfather,18167819.0,12089391.0,0.665,6078428.0,0.34,829051.0,6.234,124.0,Released,2023-05-25,0.0,90.0,False,29100000.0,en,33.845,Comedy,"Lionsgate, Depth of Field",United States of America,English,2023.0,both,right_only
,,,,,,,,,,,,,,,,,,,2023.0,148.0,aboutmyfather,18167819.0,12089391.0,0.665,6078428.0,0.34,1434391.0,0.0,0.0,Released,2013-01-01,0.0,45.0,False,0.0,ja,0.6,Drama,,Japan,Japanese,2013.0,both,right_only
,,,,,,,,,,,,,,,,,,,2016.0,143.0,absolutelyfabulousthemovie,39219109.0,4772155.0,0.122,34446954.0,0.88,372411.0,5.357,223.0,Released,2016-07-01,37915971.0,91.0,False,0.0,en,8.748,Comedy,"British Film Company, Fox Searchlight Pictures",United Kingdom,English,2016.0,both,right_only
,,,,,,,,,,,,,,,,,,,2022.0,183.0,acharya,8048175.0,832000.0,0.103,7216175.0,0.9,679919.0,4.5,11.0,Released,2022-04-29,0.0,152.0,False,18000000.0,te,7.451,"Action, Drama","Konidela Production Company, Matinee Entertainment",India,Telugu,2022.0,both,right_only
,,,,,,,,,,,,,,,,,,,2016.0,117.0,achineseodysseypartthree,53306108.0,,,53306108.0,1.0,389201.0,6.167,12.0,Released,2016-07-07,0.0,93.0,False,0.0,zh,4.694,"Adventure, Comedy, Family, Fantasy",Chunqiu Time Co.,China,Mandarin,2016.0,both,right_only
38.0,"Dec 25, 2024","Dec 25, 2024",2024.0,acompleteunknown,Searchlight Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,70000000.0,2835.0,2835.0,19000.0,11655553.0,75001720.0,75001720.0,65425973.0,140427693.0,2024.0,40.0,acompleteunknown,140508652.0,75001720.0,0.534,65506932.0,0.47,,,,,,,,,,,,,,,,,left_only,both
63.0,"Nov 16, 2018","Nov 14, 2018",2018.0,acoolfish,China Lion Film Distribution,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0.0,15.0,36.0,121.0,71187.0,551196.0,684300.0,117577445.0,118128641.0,2018.0,60.0,acoolfish,118153135.0,551876.0,0.005,117601259.0,1.0,554205.0,6.808,60.0,Released,2018-11-15,0.0,108.0,False,0.0,zh,4.699,"Comedy, Thriller, Crime",JCE Movies,China,Mandarin,2018.0,both,both
,,,,,,,,,,,,,,,,,,,2018.0,131.0,acrimony,46403669.0,43549096.0,0.938,2854573.0,0.06,464502.0,6.758,357.0,Released,2018-03-30,34764055.0,120.0,False,20000000.0,en,8.641,Thriller,Tyler Perry Studios,United States of America,English,2018.0,both,right_only
88.0,"Dec 31, 2023","Nov 25, 2023",2023.0,acrossthefurioussea,,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76360102.0,76360102.0,,,acrossthefurioussea,,,,,,855492.0,0.0,0.0,Released,2021-12-31,0.0,0.0,False,0.0,zh,0.68,"Crime, Thriller, Drama, Mystery",,China,Mandarin,2021.0,right_only,both
,,,,,,,,,,,,,,,,,,,2017.0,179.0,acureforwellness,26620002.0,8106986.0,0.305,18513016.0,0.7,340837.0,6.3,3589.0,Released,2017-02-15,26620002.0,146.0,False,40000000.0,en,19.807,"Horror, Mystery, Science Fiction","Studio Babelsberg, Regency Enterprises, New Regency Pictures, TSG Entertainment, Blind Wink Productions, 20th Century Fox","Germany, United States of America","English, German",2017.0,both,right_only
57.0,"Sep 20, 2019","Sep 19, 2019",2019.0,adastra,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,80000000.0,3460.0,3460.0,13219.0,19001398.0,50188370.0,61968395.0,84966456.0,135154826.0,2019.0,59.0,adastra,127461872.0,50188370.0,0.3939999999999999,77273502.0,0.61,419704.0,6.1,6143.0,Released,2019-09-17,127461872.0,123.0,False,87500000.0,en,11.084,"Science Fiction, Drama","New Regency Productions, MadRiver Pictures, Plan B Entertainment, RT Features, Bona Film Group, TSG Entertainment, Keep Your Head Productions, 20th Century Fox","Brazil, China, United States of America","English, Norwegian",2019.0,both,both
83.0,"May 17, 2019","May 3, 2019",2019.0,adogsjourney,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,16000000.0,3267.0,3279.0,9710.0,8030085.0,22782371.0,28129757.0,56084834.0,78867205.0,2019.0,87.0,adogsjourney,78870908.0,22782371.0,0.289,56088537.0,0.71,522518.0,8.038,1357.0,Released,2019-05-03,78871079.0,109.0,False,16000000.0,en,32.243,"Family, Adventure, Drama","Walden Media, Alibaba Pictures Group, Amblin Entertainment, Universal Pictures, DreamWorks Pictures, Amblin Partners, Pariah Entertainment Group, Reliance Entertainment","Canada, China, India, United States of America",English,2019.0,both,both
49.0,"Jan 27, 2017","Jan 20, 2017",2017.0,adogspurpose,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,25000000.0,3059.0,3178.0,18021.0,18222810.0,64321890.0,81101510.0,138733537.0,203055427.0,2017.0,47.0,adogspurpose,205035819.0,64508620.0,0.315,140527199.0,0.69,381289.0,7.615,3078.0,Released,2017-01-19,205035819.0,100.0,False,22000000.0,en,30.263,"Adventure, Comedy, Fantasy, Family, Drama","Amblin Entertainment, Pariah Entertainment Group, Walden Media, Reliance Entertainment, Amblin Partners, DreamWorks Pictures, Universal Pictures","Canada, India, United States of America",English,2017.0,both,both
82.0,"Jan 11, 2019","Jan 9, 2019",2019.0,adogswayhome,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,61000000.0,3090.0,3090.0,16257.0,11251263.0,41952715.0,51799698.0,39199790.0,81152505.0,2019.0,86.0,adogswayhome,80708134.0,42004346.0,0.52,38703788.0,0.48,508763.0,7.339,1009.0,Released,2019-01-10,17643857.0,96.0,False,18000000.0,en,25.165,"Drama, Adventure, Family","Bona Film Group, Pariah, Columbia Pictures","China, United States of America",English,2019.0,both,both
,,,,,,,,,,,,,,,,,,,2019.0,79.0,adoring,94975692.0,,,94975692.0,1.0,626616.0,7.0,6.0,Released,2019-12-31,0.0,108.0,False,0.0,zh,7.147,Drama,"海润影视制作有限公司, 北京真乐道文化传播有限公司",China,Mandarin,2019.0,both,right_only
,,,,,,,,,,,,,,,,,,,2018.0,113.0,adrift,59945012.0,31445012.0,0.525,28500000.0,0.48,429300.0,6.85,2448.0,Released,2018-05-31,59945012.0,96.0,False,35000000.0,en,16.709,"Thriller, Romance, Adventure","STX Films, RVK Studios, Lakeshore Entertainment, Huayi Brothers Pictures","Hong Kong, Iceland, United States of America","English, French",2018.0,both,right_only
,,,,,,,,,,,,,,,,,,,2018.0,113.0,adrift,59945012.0,31445012.0,0.525,28500000.0,0.48,1046148.0,7.0,1.0,Released,2022-08-26,0.0,0.0,False,0.0,en,1.179,,Navajo Joe Films,United States of America,,2022.0,both,right_only
,,,,,,,,,,,,,,,,,,,2016.0,156.0,aedilhaimushkil,31668920.0,4264983.0,0.135,27403937.0,0.87,393445.0,6.441,178.0,Released,2016-10-27,0.0,158.0,False,0.0,hi,7.933,"Romance, Drama","ADHM Films, Star Studios, Dharma Productions",India,Hindi,2016.0,both,right_only
,,,,,,,,,,,,,,,,,,,2024.0,165.0,afraid,12977758.0,6725687.0,0.518,6252071.0,0.48,912810.0,3.9,8.0,Released,2019-11-01,0.0,4.0,False,40000.0,en,0.826,Thriller,Make Films,United States of America,English,2019.0,both,right_only
,,,,,,,,,,,,,,,,,,,2024.0,165.0,afraid,12977758.0,6725687.0,0.518,6252071.0,0.48,1578489.0,0.0,0.0,In Production,2025-12-16,0.0,0.0,False,0.0,en,0.0143,Horror,,,,2025.0,both,right_only
,,,,,,,,,,,,,,,,,,,2019.0,95.0,after,69497587.0,12138565.0,0.175,57359022.0,0.83,537915.0,7.137,7781.0,Released,2019-04-11,69497587.0,106.0,False,14000000.0,en,155.287,"Romance, Drama","CalMaple Films, Wattpad, Offspring Entertainment, Diamond Film Productions, Voltage Pictures, Frayed Pages Entertainment",United States of America,English,2019.0,both,right_only
,,,,,,,,,,,,,,,,,,,2019.0,95.0,after,69497587.0,12138565.0,0.175,57359022.0,0.83,45746.0,2.867,15.0,Released,2006-06-27,0.0,80.0,False,1000000.0,en,1.214,"Horror, Science Fiction, Thriller","After... Films LLC, Harbor Light Entertainment, Pray For Rain Pictures",United States of America,English,2006.0,both,right_only
,,,,,,,,,,,,,,,,,,,2023.0,180.0,afterdeath,11830860.0,11478326.0,0.97,352534.0,0.03,5796.0,5.0,71.0,Released,1990-07-27,0.0,84.0,False,0.0,it,7.358,"Horror, Action",Flora Film,Italy,"Italian, Tagalog",1990.0,both,right_only
,,,,,,,,,,,,,,,,,,,2023.0,180.0,afterdeath,11830860.0,11478326.0,0.97,352534.0,0.03,214256.0,4.102,54.0,Released,2015-10-19,0.0,88.0,False,0.0,en,4.969,"Horror, Mystery, Thriller","Acheron Films, Vituhmin Productions",United Kingdom,English,2015.0,both,right_only
,,,,,,,,,,,,,,,,,,,2023.0,180.0,afterdeath,11830860.0,11478326.0,0.97,352534.0,0.03,1287392.0,0.0,0.0,Released,2024-05-10,0.0,14.0,False,0.0,en,1.4,"Drama, Comedy",,,,2024.0,both,right_only
,,,,,,,,,,,,,,,,,,,2022.0,111.0,aftereverhappy,19238073.0,1072750.0,0.0559999999999999,18165323.0,0.94,744276.0,6.843,992.0,Released,2022-08-24,12467270.0,95.0,False,0.0,en,167.725,"Romance, Drama","Voltage Pictures, Wattpad, Vertical Entertainment, Ethea Entertainment, CalMaple Films",United States of America,English,2022.0,both,right_only
,,,,,,,,,,,,,,,,,,,2023.0,190.0,aftereverything,10644463.0,,,10644463.0,1.0,820525.0,6.768,69.0,Released,2023-09-13,3280152.0,93.0,False,14000000.0,en,474.472,"Romance, Drama","Voltage Pictures, Wattpad",United States of America,"English, Portuguese",2023.0,both,right_only
,,,,,,,,,,,,,,,,,,,2022.0,175.0,aftersun,8906840.0,1658790.0,0.186,7248050.0,0.81,965150.0,7.716,877.0,Released,2022-10-21,4785157.0,102.0,False,0.0,en,37.165,Drama,"PASTEL, BBC Film, Tango Entertainment, Unified Theory, Screen Scotland, BFI, AZ Celtic Films","Turkey, United Kingdom, United States of America","English, Turkish",2022.0,both,right_only
44.0,"Sep 11, 2020","Sep 2, 2020",2020.0,afterwecollided,,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0.0,0.0,546.0,2048.0,0.0,2386483.0,2940204.0,40919909.0,43306392.0,2020.0,32.0,afterwecollided,47990414.0,2386483.0,0.05,45603931.0,0.95,613504.0,7.202,5051.0,Released,2020-09-02,42000000.0,105.0,False,0.0,en,121.032,"Romance, Drama","Voltage Pictures, Offspring Entertainment, Frayed Pages Entertainment, Wattpad",United States of America,English,2020.0,both,both
,,,,,,,,,,,,,,,,,,,2021.0,111.0,afterwefell,21753705.0,2170750.0,0.1,19582955.0,0.9,744275.0,7.097,2311.0,Released,2021-09-01,21500000.0,99.0,False,14000000.0,en,140.224,"Romance, Drama","Voltage Pictures, Wattpad, Vertical Entertainment, Ethea Entertainment, CalMaple Films","France, United States of America",English,2021.0,both,right_only
,,,,,,,,,,,,,,,,,,,2021.0,183.0,agentbackkomkingsbear,8700526.0,,,8700526.0,1.0,869404.0,6.0,1.0,Released,2021-07-23,8500000.0,95.0,False,0.0,zh,0.635,Animation,,China,Mandarin,2021.0,both,right_only
,,,,,,,,,,,,,,,,,,,2023.0,162.0,aguiltyconscience,14911562.0,,,14911562.0,1.0,990326.0,6.617,30.0,Released,2023-01-20,10000000.0,133.0,False,2800000.0,cn,8.215,Drama,"Edko Films, Alibaba Pictures Group, Irresistible Beta Limited",Hong Kong,Cantonese,2023.0,both,right_only
63.0,"Sep 15, 2023","Sep 13, 2023",2023.0,ahauntinginvenice,20th Century Studios,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Historical Fiction,60000000.0,3305.0,3305.0,17055.0,14279529.0,42471412.0,43907829.0,79819044.0,122290456.0,2023.0,57.0,ahauntinginvenice,122290456.0,42471412.0,0.347,79819044.0,0.65,945729.0,6.786,519.0,Released,2023-09-13,89800000.0,104.0,False,60000000.0,en,147.584,"Mystery, Thriller, Crime","20th Century Studios, Scott Free Productions, The Mark Gordon Company, Genre Films, Agatha Christie Limited","United Kingdom, United States of America","English, Italian",2023.0,both,both
,,,,,,,,,,,,,,,,,,,2020.0,129.0,aiamok,7932675.0,,,7932675.0,1.0,619083.0,6.0,6.0,Released,2020-01-31,0.0,131.0,False,0.0,ja,4.215,Science Fiction,Warner Bros. Japan,Japan,"English, Japanese",2020.0,both,right_only
79.0,"Apr 5, 2023","Mar 5, 2023",2023.0,air,Amazon Studios,Drama,Based on Real Life Events,Live Action,Dramatization,90000000.0,3507.0,3507.0,15688.0,14456279.0,52460106.0,54234345.0,37600000.0,90060106.0,2023.0,71.0,air,90060106.0,52460106.0,0.583,37600000.0,0.42,964980.0,7.385,1384.0,Released,2023-04-05,87078875.0,112.0,False,90000000.0,en,38.283,"Drama, History","Amazon Studios, Skydance Sports, Mandalay Pictures, Artists Equity",United States of America,"German, English",2023.0,both,both
9.0,"May 24, 2019","May 22, 2019",2019.0,aladdin,Walt Disney,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Fantasy,182000000.0,4476.0,4476.0,35706.0,91500929.0,355559216.0,439014705.0,686566891.0,1042126107.0,2019.0,9.0,aladdin,1050693953.0,355559216.0,0.3379999999999999,695134737.0,0.66,812.0,7.645,10547.0,Released,1992-11-25,504050219.0,95.0,False,28000000.0,en,52.027,"Animation, Family, Adventure, Fantasy, Romance","Walt Disney Pictures, Walt Disney Feature Animation",United States of America,English,1992.0,both,both
,,,,,,,,,,,,,,,,,,,2020.0,55.0,alavaikunthapurramuloo,28477890.0,,,28477890.0,1.0,628241.0,6.8,67.0,Released,2020-01-12,28859072.0,165.0,False,14000000.0,te,8.167,"Action, Comedy, Drama","Geetha Arts, Haarika & Hassine Creations",India,"Hindi, Telugu",2020.0,both,right_only
,,,,,,,,,,,,,,,,,,,2017.0,170.0,alibicom,29370592.0,,,29370592.0,1.0,398929.0,6.484,1567.0,Released,2017-02-15,29370592.0,90.0,False,7546570.0,fr,9.486,Comedy,"Fechner Films, TF1 Droits Audiovisuels, StudioCanal, TF1 Films Production",France,French,2017.0,both,right_only
,,,,,,,,,,,,,,,,,,,2023.0,116.0,alibicom2,34114308.0,,,34114308.0,1.0,967585.0,6.715,256.0,Released,2023-02-08,0.0,88.0,False,0.0,fr,24.63,Comedy,"TF1 Films Production, StudioCanal, Axel Films, TF1 Studio, BAF Prod",France,French,2023.0,both,right_only
,,,,,,,,,,,,,,,,,,,2025.0,141.0,aliceinwonderland,16018429.0,,,16018429.0,1.0,12155.0,6.627,13149.0,Released,2010-03-03,1025467110.0,108.0,False,200000000.0,en,56.345,"Family, Fantasy, Adventure","Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions, The Zanuck Company",United States of America,English,2010.0,both,right_only
,,,,,,,,,,,,,,,,,,,2025.0,141.0,aliceinwonderland,16018429.0,,,16018429.0,1.0,135361.0,6.6,5.0,Released,2010-02-23,0.0,57.0,False,0.0,en,1.583,"Family, Animation, Fantasy, Music, Adventure",,United States of America,English,2010.0,both,right_only
